,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,home_team,away_team,year,day,game_str_1,home_team_1,away_team_1,at_bat_1,play_per_game_1,top_bottom_inning,pitcher,catcher,first_base,second_base,third_base,shortstop,left_field,center_field,right_field,batter,first_baserunner,second_baserunner,third_baserunner,year_1,day_1,game_str_2,play_id_1,timestamp_1,runner,field_x,field_y
0,y1_d070_ACN_QEA,7,\N,7,147637,1,6,QEA,ACN,year_1,day_070,y1_d070_ACN_QEA,QEA,ACN,,7.0,top,QEA-0175,QEA-0120,QEA-0263,QEA-0277,QEA-0232,QEA-0027,QEA-0424,QEA-0365,QEA-0249,ACN-1416,ACN-1623,NA,NA,year_1,day_070,y1_d070_ACN_QEA,7,144637,11,55.1412,72.6057
1,y1_d070_ACN_QEA,120,29,120,3831587,1,6,QEA,ACN,year_1,day_070,y1_d070_ACN_QEA,QEA,ACN,29.0,120.0,top,QEA-0175,QEA-0120,QEA-0263,QEA-0277,QEA-0232,QEA-0027,QEA-0424,QEA-0365,QEA-0249,ACN-1276,ACN-1924,NA,NA,year_1,day_070,y1_d070_ACN_QEA,120,3828587,11,54.5121,72.0768
2,y1_d070_ACN_QEA,186,45,186,6096137,1,6,QEA,ACN,year_1,day_070,y1_d070_ACN_QEA,QEA,ACN,45.0,186.0,top,QEA-0212,QEA-0120,QEA-0263,QEA-0277,QEA-0232,QEA-0027,QEA-0424,QEA-0365,QEA-0249,ACN-2472,ACN-1276,NA,NA,year_1,day_070,y1_d070_ACN_QEA,186,6093137,11,53.6247,73.4862
3,y1_d070_ACN_QEA,191,\N,191,6221087,1,6,QEA,ACN,year_1,day_070,y1_d070_ACN_QEA,QEA,ACN,,191.0,top,QEA-0212,QEA-0120,QEA-0263,QEA-0277,QEA-0232,QEA-0027,QEA-0424,QEA-0365,QEA-0249,ACN-2472,ACN-1276,NA,NA,year_1,day_070,y1_d070_ACN_QEA,191,6218087,11,54.3342,72.0051
4,y1_d071_ACN_QEA,16,\N,16,353202,1,6,QEA,ACN,year_1,day_071,y1_d071_ACN_QEA,QEA,ACN,,16.0,top,QEA-0394,QEA-0071,QEA-0263,QEA-0365,QEA-0232,QEA-0277,QEA-0364,QEA-0424,QEA-0249,ACN-1416,ACN-1623,NA,NA,year_1,day_071,y1_d071_ACN_QEA,16,350202,11,54.624,74.7528
5,y1_d071_ACN_QEA,157,34,157,4985465,1,6,QEA,ACN,year_1,day_071,y1_d071_ACN_QEA,QEA,ACN,34.0,157.0,top,QEA-0394,QEA-0071,QEA-0263,QEA-0365,QEA-0232,QEA-0277,QEA-0364,QEA-0424,QEA-0249,ACN-1139,ACN-1276,NA,NA,year_1,day_071,y1_d071_ACN_QEA,157,4982465,11,53.8914,73.3026
6,y1_d073_PHS_RZQ,20,\N,20,593197,1,6,RZQ,PHS,year_1,day_073,y1_d073_PHS_RZQ,RZQ,PHS,,20.0,bottom,PHS-2299,PHS-1377,PHS-2454,PHS-1776,PHS-1210,PHS-2539,PHS-1548,PHS-1784,PHS-1359,RZQ-0355,RZQ-0347,NA,NA,year_1,day_073,y1_d073_PHS_RZQ,20,593197,11,54.9873,71.2626
7,y1_d073_PHS_RZQ,28,\N,28,848497,1,6,RZQ,PHS,year_1,day_073,y1_d073_PHS_RZQ,RZQ,PHS,,28.0,bottom,PHS-2299,PHS-1377,PHS-2454,PHS-1776,PHS-1210,PHS-2539,PHS-1548,PHS-1784,PHS-1359,RZQ-0274,RZQ-0347,NA,NA,year_1,day_073,y1_d073_PHS_RZQ,28,848497,11,54.7212,72.5736
8,y1_d073_PHS_RZQ,63,\N,63,1946897,1,6,RZQ,PHS,year_1,day_073,y1_d073_PHS_RZQ,RZQ,PHS,,63.0,bottom,PHS-2299,PHS-1377,PHS-2454,PHS-1776,PHS-1210,PHS-2539,PHS-1548,PHS-1784,PHS-1359,RZQ-0214,RZQ-0014,NA,NA,year_1,day_073,y1_d073_PHS_RZQ,63,1946897,11,58.0236,70.8786
9,y1_d073_PHS_RZQ,123,\N,123,4169647,1,6,RZQ,PHS,year_1,day_073,y1_d073_PHS_RZQ,RZQ,PHS,,123.0,bottom,PHS-2299,PHS-1377,PHS-2454,PHS-1776,PHS-1210,PHS-2539,PHS-1548,PHS-1784,PHS-1359,RZQ-0239,RZQ-0274,NA,NA,year_1,day_073,y1_d073_PHS_RZQ,123,4169647,11,54.9405,72.0885
