,game_str,play_per_game,outs
14,y1_d037_HMN_RZQ,192.0,1.0
16,y1_d064_IAQ_YJD,23.0,1.0
45,y1_d051_JZK_RZQ,25.0,1.0
55,y1_d080_PVJ_RZQ,62.0,1.0
78,y2_d029_IKJ_RZQ,26.0,1.0
81,y2_d029_IKJ_RZQ,276.0,1.0
88,y2_d038_UKI_RZQ,118.0,1.0
104,y2_d075_VZE_YJD,231.0,1.0
111,y2_d098_YJD_RZQ,202.0,1.0
128,y2_d014_TEQ_YJD,135.0,1.0
149,y2_d078_MGJ_RZQ,14.0,1.0
162,y1_d100_MRJ_YJD,55.0,1.0
171,y2_d024.5_ALA_YJD,206.0,1.0
213,y2_d079_YJD_RZQ,142.0,1.0
216,y2_d097_YJD_RZQ,2.0,1.0
217,y2_d097_YJD_RZQ,9.0,1.0
226,y1_d034_AVV_YJD,48.0,1.0
228,y1_d034_AVV_YJD,132.0,1.0
229,y1_d043_WJU_QEA,106.0,1.0
235,y1_d049_STK_QEA,151.0,1.0
254,y1_d006_JJS_YJD,62.0,1.0
258,y1_d046_MHY_RZQ,62.0,1.0
265,y1_d051_UPU_YJD,86.0,1.0
267,y1_d056_KJH_RZQ,86.0,1.0
306,y2_d025_ALA_YJD,118.0,1.0
309,y2_d026_YUH_RZQ,59.0,1.0
314,y2_d036_UKI_RZQ,60.0,1.0
321,y2_d065_HKR_RZQ,86.0,1.0
331,y2_d089_DYE_RZQ,46.0,2.0
354,y1_d050_JZK_RZQ,203.0,1.0
371,y1_d081_PVJ_RZQ,118.0,1.0
387,y2_d028_YUH_RZQ,37.0,1.0
410,y2_d098_YJD_RZQ,227.0,1.0
411,y2_d098_YJD_RZQ,228.0,1.0
413,y1_d074_UWE_YJD,83.0,1.0
417,y1_d075_PHS_RZQ,115.0,1.0
418,y1_d088_CRQ_QEA,271.0,1.0
420,y1_d095_KQQ_YJD,260.0,1.0
430,y2_d042_RZQ_YJD,199.0,1.0
450,y2_d063_KIR_RZQ,304.0,1.0
451,y2_d086_LFS_YJD,113.0,1.0
499,y1_d046_MHY_RZQ,160.0,1.0
501,y1_d047_MHY_RZQ,25.0,1.0
502,y1_d047_MHY_RZQ,124.0,1.0
514,y1_d051_UPU_YJD,312.0,1.0
515,y1_d056_KJH_RZQ,100.0,1.0
530,y1_d070_ACN_QEA,181.0,1.0
536,y1_d073_PHS_RZQ,226.0,1.0
548,y1_d086_DYE_YJD,163.0,1.0
599,y1_d049_UPU_YJD,195.0,1.0
643,y1_d080_FBP_QEA,146.0,1.0
656,y1_d094_KQQ_YJD,108.0,1.0
685,y1_d019_JFU_YJD,299.0,1.0
692,y1_d052_APZ_QEA,63.0,1.0
709,y1_d066_OWH_QEA,359.0,1.0
719,y2_d074_VZE_YJD,12.0,1.0
728,y1_d026_JIL_RZQ,36.0,1.0
731,y1_d026_JIL_RZQ,214.0,1.0
741,y1_d053_APZ_QEA,120.0,1.0
764,y2_d027_YUH_RZQ,237.0,1.0
790,y2_d089_DYE_RZQ,26.0,1.0
798,y1_d007_JJS_YJD,70.0,1.0
799,y1_d007_JJS_YJD,112.0,1.0
825,y1_d098_MRJ_YJD,186.0,1.0
828,y2_d002_GHD_YJD,279.0,1.0
834,y2_d022_DMS_RZQ,185.0,1.0
842,y2_d046_IHI_YJD,157.0,1.0
859,y1_d089_CRQ_QEA,49.0,1.0
869,y1_d094_XAX_QEA,89.0,1.0
875,y2_d009_JMJ_YJD,287.0,1.0
902,y1_d036_HMN_RZQ,5.0,1.0
909,y1_d044_WJU_QEA,167.0,1.0
919,y1_d093_DYE_RZQ,196.0,1.0
941,y2_d037_UKI_RZQ,207.0,1.0
944,y2_d064_HKR_RZQ,182.0,1.0
967,y1_d055_APZ_QEA,115.0,1.0
984,y1_d075_PHS_RZQ,64.0,1.0
1005,y2_d045_IHI_YJD,189.0,1.0
1022,y2_d087_DYE_RZQ,184.0,1.0
1026,y2_d095_QZE_RZQ,234.0,1.0
1043,y2_d037_UKI_RZQ,250.0,1.0
1045,y2_d046.5_IHI_YJD,102.0,1.0
1050,y1_d045_WJU_QEA,89.0,1.0
1063,y1_d084_YJD_RZQ,79.0,1.0
1064,y1_d087_CRQ_QEA,144.0,1.0
1066,y2_d014_TEQ_YJD,240.0,1.0
1071,y2_d034_KNB_YJD,235.0,1.0
1075,y2_d067_ESW_YJD,179.0,1.0
1088,y1_d021_JFU_YJD,11.0,1.0
1098,y1_d040_TKJ_YJD,7.0,1.0
1105,y1_d049_UPU_YJD,167.0,1.0
1110,y1_d067_UEX_RZQ,197.0,1.0
1119,y1_d096_WNA_RZQ,196.0,1.0
1122,y2_d002_GHD_YJD,185.0,1.0
1132,y2_d022_DMS_RZQ,219.0,1.0
1157,y1_d015_IXC_QEA,163.0,1.0
1178,y1_d044_WJU_QEA,273.0,1.0
1201,y1_d049_JZK_RZQ,195.0,1.0
1211,y1_d096_XAX_QEA,5.0,1.0
1214,y1_d096_XAX_QEA,241.0,1.0
1230,y2_d038_UKI_RZQ,8.0,1.0
1231,y2_d040_XLB_RZQ,76.0,1.0
1233,y2_d049_DYE_RZQ,5.0,1.0
1248,y1_d041_TKJ_YJD,274.0,1.0
1249,y1_d041_TKJ_YJD,279.0,1.0
1261,y1_d083_YJD_RZQ,186.0,1.0
1262,y1_d083_YJD_RZQ,311.0,1.0
1268,y2_d015_TEQ_YJD,140.0,1.0
1272,y2_d041_XLB_RZQ,115.0,1.0
1273,y2_d041_XLB_RZQ,199.0,1.0
1282,y2_d059_POW_YJD,32.0,1.0
