,play_per_game,game_str,runs
103,12,y1_d066_IAQ_YJD,1.0
273,340,y2_d084_LFS_YJD,1.0
296,219,y1_d041_TKJ_YJD,2.0
358,113,y2_d065_HKR_RZQ,1.0
455,207,y1_d056_WZR_YJD,1.0
506,114,y1_d050_JZK_RZQ,3.0
534,149,y2_d080_YJD_RZQ,1.0
563,109,y1_d021_JFU_YJD,1.0
564,129,y1_d021_JFU_YJD,1.0
633,287,y1_d011_DYE_RZQ,2.0
646,186,y2_d017_GIS_RZQ,1.0
798,22,y1_d045_WJU_QEA,1.0
848,238,y2_d094_QZE_RZQ,1.0
898,179,y2_d034_KNB_YJD,1.0
981,75,y1_d009_DYE_RZQ,1.0
1056,272,y1_d028_CMS_YJD,1.0
1075,148,y1_d020_JFU_YJD,1.0
1162,114,y1_d010_DYE_RZQ,1.0
1408,291,y1_d006_JJS_YJD,1.0
1454,340,y1_d052_APZ_QEA,2.0
1461,81,y1_d012_IXC_QEA,1.0
1510,328,y2_d030_IKJ_RZQ,1.0
1635,50,y1_d091_DYE_RZQ,1.0
1666,333,y2_d094_QZE_RZQ,1.0
1749,188,y2_d075_VZE_YJD,1.0
1761,54,y1_d003_CGA_QEA,1.0
1773,172,y1_d057_OXG_QEA,1.0
1855,122,y2_d080_YJD_RZQ,1.0
1857,49,y2_d027_YUH_RZQ,1.0
1893,183,y2_d013_RQJ_YJD,1.0
1940,200,y1_d031_REC_QEA,1.0
2020,187,y2_d024_ALA_YJD,1.0
2076,128,y1_d019_OXG_QEA,1.0
2088,170,y2_d001_BEJ_RZQ,1.0
2233,289,y1_d018_OXG_QEA,1.0
2353,317,y2_d059_POW_YJD,1.0
2419,209,y2_d005_DYE_RZQ,1.0
2431,35,y1_d026_JIL_RZQ,1.0
2441,100,y2_d093_QZE_RZQ,1.0
2481,292,y1_d019_JFU_YJD,1.0
2543,219,y1_d050.5_STK_QEA,1.0
2782,38,y1_d100_MRJ_YJD,1.0
2806,293,y1_d003_CGA_QEA,1.0
2835,239,y2_d012_BVD_RZQ,1.0
2857,234,y2_d067_HKR_RZQ,1.0
2903,27,y1_d024_AKX_YJD,1.0
2933,132,y1_d097_MRJ_YJD,1.0
2960,244,y2_d075_VZE_YJD,2.0
2986,179,y1_d014_IXC_QEA,1.0
