,game_str,play_id,play_per_game,player_position,event_code,home_team,first_baserunner,second_baserunner
0,y1_d062_HCI_RZQ,25,25,2,3,RZQ,RZQ-0274,NA
1,y1_d063_HCI_RZQ,61,61,2,3,RZQ,RZQ-0258,NA
2,y1_d064_UEX_RZQ,260,156,2,3,RZQ,UEX-2239,NA
3,y1_d065_IAQ_YJD,11,11,2,3,YJD,IAQ-1483,NA
4,y1_d065_IAQ_YJD,109,109,2,3,YJD,YJD-0345,NA
5,y1_d065_OWH_QEA,10,10,2,3,QEA,OWH-1045,NA
6,y1_d065_UEX_RZQ,137,137,2,3,RZQ,RZQ-0381,NA
7,y1_d066_IAQ_YJD,234,234,2,3,YJD,IAQ-1783,NA
8,y1_d068_OWH_QEA,17,17,2,3,QEA,OWH-1692,NA
9,y1_d071_ACN_QEA,186,186,2,3,QEA,QEA-0249,NA
10,y1_d074_UWE_YJD,201,201,2,3,YJD,YJD-0172,NA
11,y1_d075_PHS_RZQ,231,231,2,3,RZQ,PHS-2530,NA
12,y1_d075_UWE_YJD,214,214,2,3,YJD,UWE-1368,NA
13,y1_d076_GAX_YJD,9,9,2,3,YJD,GAX-2281,NA
14,y1_d077_GAX_YJD,37,37,2,3,YJD,GAX-1345,NA
15,y1_d078_GAX_YJD,120,120,2,3,YJD,YJD-0340,NA
16,y1_d078_GAX_YJD,182,182,2,3,YJD,YJD-0060,NA
17,y1_d079_FBP_QEA,209,209,2,3,QEA,FBP-1529,NA
18,y1_d079_PVJ_RZQ,122,122,2,3,RZQ,PVJ-1833,NA
19,y1_d080_PVJ_RZQ,130,130,2,3,RZQ,PVJ-1049,NA
20,y1_d081_PVJ_RZQ,89,89,2,3,RZQ,RZQ-0347,NA
21,y1_d083_YJD_RZQ,148,30,2,3,RZQ,RZQ-0355,NA
22,y1_d086_CRQ_QEA,179,179,2,3,QEA,QEA-0218,NA
23,y1_d086_DYE_YJD,274,115,2,3,YJD,YJD-0284,NA
24,y1_d087_CRQ_QEA,284,284,2,3,QEA,CRQ-1017,NA
25,y1_d091_DYE_RZQ,71,71,2,3,RZQ,RZQ-0014,NA
26,y1_d091_DYE_RZQ,135,135,2,3,RZQ,DYE-0408,NA
